name,year,Countries,Director,Genre,Time,IMDb,id
,,,,,,,
Thor: Ragnarok,2017,"USA, Australia",????? ???????,"??????????, ???????, ??????",130,"7,90",1
Avengers: Infinity War,2018,USA,"?????? ?????, ??? ?????","??????????, ???????, ??????",149,"8,50",2
Apocalypto,2006,USA,??? ??????,"??????, ???????, ?????",139,"7,80",3
The Passion of the Christ,2004,USA,??? ??????,?????,127,"7,20",4
Baby Driver,2017,"UK, USA",????? ????,"??????, ???????, ?????",112,"7,60",5
Valerian and the City of a Thousand Planets,2017,"France, China, Belgium",??? ??????,"??????????, ???????, ??????",137,"6,50",6
Transformers: The Last Knight,2017,"USA, China, Canada",????? ???,"??????????, ??????, ???????????",154,"5,20",7
Demain tout commence,2016,"France, UK",????? ?????,"???????, ?????, ????????",118,"7,40",8
"Everything, Everything",2017,USA,?????? ????,"?????, ?????????",96,"6,40",9
Wonder Woman,2017,"USA, China, Hong Kong",????? ????????,"??????????, ???????, ??????",141,"7,50",10
Perfetti sconosciuti,2015,Italy,????? ?????????,"?????, ???????",97,"7,80",11
Drinking Buddies,2013,USA,??? ????????,"?????, ?????????, ???????",90,"6,10",12
The Boss Baby,2017,USA,??? ???????,"??????????, ???????, ???????",87,"6,30",13
13 Hours,2015,"Malta, Morocco, USA",????? ???,"??????, ???????, ?????",144,"7,30",14
The Jungle Book,2016,"UK, USA",???? ?????,"???????, ?????, ???????????",105,"7,40",15
Split,2016,USA,?. ???? ????????,"?????, ???????",117,"7,30",16
The Nice Guys,2016,"USA, UK",???? ????,"????????, ???????, ??????",115,"7,40",17
Allied,2016,"UK, USA",?????? ???????,"??????, ???????, ?????",121,"7,10",18
Me Before You,2016,"UK, USA",??? ??????,"?????, ?????????",106,"7,40",19
La tortue rouge,2016,"France, Belgium, Japon",????? ????? ?? ???,"??????????, ???????",80,"7,50",20
Captain America: Civil War,2016,"USA, Germany","?????? ?????, ??? ?????","??????????, ??????, ???????????",147,"7,80",21
A Monster Calls,2016,"UK, Spain, USA",???? ??????? ??????,"??????????, ???????, ?????",108,"7,50",22
Deadpool,2016,USA,??? ??????,"??????????, ??????, ???????",108,"8,00",23
Silence,2016,"Mexica, Taiwan, USA",?????? ????????,"?????, ???????????, ???????",161,"7,20",24
Sing,2016,"Japon, USA","???? ?????????, ??????? ???????","??????????, ??????, ???????",108,"7,10",25
Hidden Figures,2016,USA,??? ?????,"?????, ?????????, ???????",127,"7,80",26
Warcraft,2016,"China, Canada, Japon",?????? ?????,"???????, ??????, ???????????",123,"6,90",27
Sully,2016,USA,????? ??????,"?????, ?????????",96,"7,50",28
Doctor Strange,2016,USA,????? ?????????,"??????????, ???????, ??????",115,"7,50",29
Eddie the Eagle,2016,"UK, Germany, USA",??????? ???????,"?????, ???????, ?????????",106,"7,40",30
La La Land,2016,"USA, Hong Kong",?????? ??????,"??????, ?????, ?????????",128,"8,00",31
Logan,2017,USA,?????? ???????,"??????????, ??????, ???????",137,"8,10",32
Beauty and the Beast,2017,USA,???? ??????,"??????, ???????, ?????????",129,"7,20",33
Skins,2007 ? 2013,UK,"?????? ??????, ?????? ?????, ???? ????",?????,45,"8,20",34
The Newsroom,2012 ? 2014,USA,"???? ???, ???? ???????, ?????? ?????????",?????,60,"8,60",35
Chappie,2015,"???, USA",??? ????????,"??????????, ??????, ???????",120,"6,80",36
Lion,2016,"UK, Australia, USA",???? ?????,"?????, ?????????",118,"8,10",37
20th Century Women,2016,USA,???? ?????,"?????, ???????",118,"7,40",38
